Compounds	Chemical Formula	InChI-Key	Pathways of compound	SMILES	Object ID	Synonyms	Molecular-Weight
cyanidin 3-(p-coumaroyl)-glucoside	C30H25O13	InChIKey=QAOBEOXFSUJDJL-CQMULRQDSA-M	superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-<i>O</i>-glucoside)	C(OC(=O)/C=C/C1(\C=C/C(/O)=C\C=1))[C@@H]5([C@@H](O)[C@H](O)[C@@H](O)C(OC3(\C(C2(\C=C/C(/O)=C(/C=2)/O))=[O+]C4(\C=C(/C=C(C(\C=3)=4)/[O-])\[O-])))O5)	CPD-7866		593.52
cyanidin 3-<i>O</i>-&beta;-<i>D</i>-(p-coumaroyl)-sambubioside	C35H34O17	InChIKey=KMIJRKZNTFVLAI-YONICNLVSA-N	anthocyanin biosynthesis // anthocyanidin modification (<i>Arabidopsis</i>)	C6(/C=C(\C=C/C(/C=C/C(=O)OC[C@H]5(O[C@@H](OC1(\C(=[O+]C2(\C(/C=1)=C(/C=C(/C=2)/O)\[O-]))C3(\C=C/C(/O)=C(/C=3)/O)))[C@H](O[C@@H]4(OC[C@@H](O)[C@H](O)[C@@H](O)4))[C@@H](O)[C@H](O)5))=6)/O)	CPD-16536	cyanidin 3-O-[2"-O-xylosyl) 6"-O-(p-coumaroyl) glucoside	726.643
cyanidin 3-<i>O</i>-&beta;-<i>D</i>-p-coumaroylglucoside	C30H25O13	InChIKey=QAOBEOXFSUJDJL-SHPGVJHPSA-M	anthocyanin biosynthesis // anthocyanidin modification (<i>Arabidopsis</i>)	C5(/C=C(\C=C/C(/C=C/C(=O)OC[C@H]4(O[C@@H](OC1(\C(=[O+]C2(\C(/C=1)=C(/C=C(/C=2)/[O-])\[O-]))C3(\C=C/C(/O)=C(/C=3)/O)))[C@H](O)[C@@H](O)[C@H](O)4))=5)/O)	CPD-16541	cyanidin 3-O-[6"-O-(p-coumaroyl)] glucoside	593.52
cyanidin 3-<i>O</i>-&beta;-<i>D</i>-sambubioside	C26H27O15	InChIKey=ZPPQIOUITZSYAO-AOBOYTTNSA-M	anthocyanin biosynthesis // anthocyanidin modification (<i>Arabidopsis</i>)	C5(\C(\C4(\[O+]=C1(C(/C(/[O-])=C\C(\[O-])=C/1)=C/C(/O[C@@H]3(O[C@@H]([C@@H](O)[C@H](O)[C@@H](O[C@@H]2(OC[C@@H](O)[C@H](O)[C@@H](O)2))3)CO))=4)))=C/C(/O)=C(\C=5)/O)	CPD-16535	sambicyanin // cyanidin 3-sambubioside // cyanidin-3-xyloglucoside // cyanidin 3-O-[2"-O-(xylosyl)] glucoside	579.49
cyanidin 3-<i>O</i>-sophoroside	C27H30O16	InChIKey=SXYMMDGPXYVCER-HAHCJQHHSA-N	superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-<i>O</i>-glucoside) // anthocyanin biosynthesis	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@@H](O1)O[C@@H]2([C@@H](O)[C@H](O)[C@@H](CO)OC2OC4(\C(C3(\C=C/C(/O)=C(/C=3)/O))=[O+]C5(\C=C(/C=C(C(\C=4)=5)/[O-])\O))))	CPD-7842		610.524
cyanidin 3-<i>O</i>-[2"-<i>O</i>-(2"'-<i>O</i>-(sinapoyl) xylosyl) 6"-<i>O</i>-(p-coumaroyl) glucoside] 5-<i>O</i>-[6""-<i>O</i>-(malonyl) glucoside	C55H57O29	InChIKey=MAKMINQMKSULBY-GWCBQTKKSA-O	anthocyanin biosynthesis // anthocyanidin modification (<i>Arabidopsis</i>)	COC1(\C(\O)=C(C=C(/C=1)/C=C/C(=O)O[C@H]8([C@H](O[C@H]2([C@@H](O[C@@H]([C@@H](O)[C@H](O)2)COC(/C=C/C3(\C=C/C(/O)=C\C=3))=O)OC4(\C(=[O+]C5(\C=C(/C=C(C(\C=4)=5)/O[C@@H]6(O[C@H](COC(=O)CC(=O)O)[C@@H](O)[C@H](O)[C@@H](O)6))\O))C7(\C=C/C(/O)=C(/C=7)/O))))OC[C@@H](O)[C@H](O)8))\OC)	CPD-16539	arabidopsis anthocyanin A9	1182.038
cyanidin 3-<i>O</i>-[2"-<i>O</i>-(2"'-<i>O</i>-(sinapoyl) xylosyl) 6"-<i>O</i>-(p-<i>O</i>-(glucosyl)-p-coumaroyl) glucoside] 5-<i>O</i>-[6""-<i>O</i>-(malonyl) glucoside	C61H67O34	InChIKey=QRNIDVBVORPNBX-YYZQHOFDSA-O	anthocyanidin modification (<i>Arabidopsis</i>) // anthocyanin biosynthesis	COC1(\C(\O)=C(C=C(/C=1)/C=C/C(=O)O[C@H]9([C@H](O[C@H]2([C@@H](O[C@@H]([C@@H](O)[C@H](O)2)COC(/C=C/C4(\C=C/C(/O[C@H]3([C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3))=C\C=4))=O)OC5(\C(=[O+]C6(\C=C(/C=C(C(\C=5)=6)/O[C@@H]7(O[C@H](COC(=O)CC(=O)O)[C@@H](O)[C@H](O)[C@@H](O)7))\O))C8(\C=C/C(/O)=C(/C=8)/O))))OC[C@@H](O)[C@H](O)9))\OC)	CPD-16540	arabidopsis anthocyanin A11	1344.18
cyanidin 3-<i>O</i>-[2"-<i>O</i>-(xylosyl)-6"-<i>O</i>-(p-coumaroyl) glucoside] 5-<i>O</i>-glucoside	C41H45O22	InChIKey=JSYDBTWJIIAZPU-NEVABJEQSA-O	anthocyanin biosynthesis // anthocyanidin modification (<i>Arabidopsis</i>)	C(O)[C@@H]7([C@@H](O)[C@H](O)[C@@H](O)[C@H](OC6(\C=C(/C=C1(C(\C=C(C(=[O+]1)C2(\C=C/C(/O)=C(/C=2)/O))\O[C@@H]4(O[C@@H]([C@@H](O)[C@H](O)[C@@H](O[C@@H]3(OC[C@@H](O)[C@H](O)[C@@H](O)3))4)COC(/C=C/C5(\C=C/C(/O)=C\C=5))=O))=6))\O))O7)	CPD-16537	arabidopsis anthocyanin A3	889.793
cyanidin 3-<i>O</i>-[2"-<i>O</i>-(xylosyl)-6"-<i>O</i>-(p-coumaroyl) glucoside] 5-<i>O</i>-malonylglucoside	C44H47O25	InChIKey=JKGXHHXZZLNEGD-XINMMMEUSA-O	anthocyanin biosynthesis // anthocyanidin modification (<i>Arabidopsis</i>)	C(OC(=O)CC(=O)O)[C@@H]7([C@@H](O)[C@H](O)[C@@H](O)[C@H](OC6(\C=C(/C=C1(C(\C=C(C(=[O+]1)C2(\C=C/C(/O)=C(/C=2)/O))\O[C@@H]4(O[C@@H]([C@@H](O)[C@H](O)[C@@H](O[C@@H]3(OC[C@@H](O)[C@H](O)[C@@H](O)3))4)COC(/C=C/C5(\C=C/C(/O)=C\C=5))=O))=6))\O))O7)	CPD-16538	arabidopsis anthocyanin A5	975.84
cyanidin 3-<i>O</i>-[6-<i>O</i>-(4-<i>O</i>-&beta;-D-glucosyl-<i>p</i>-coumaroyl)-2-<i>O</i>-(2-<i>O</i>-sinapoyl-&beta;-D-xylosyl)-&beta;-D-glucosyl]-5-<i>O</i>-(6-<i>O</i>-malonyl-&beta;-D-glucoside)	C61H65O34	InChIKey=QRNIDVBVORPNBX-YYZQHOFDSA-M		COC1(/C=C(/C=C(C(\O)=1)/OC)/C=C/C(=O)O[C@@H]2([C@@H](O)[C@H](O)CO[C@H]2O[C@@H]5([C@@H](O)[C@H](O)[C@@H](COC(=O)/C=C/C4(\C=C/C(/O[C@@H]3(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)3))=C\C=4))O[C@H]5OC7(\C(C6(\C=C(C(/O)=C\C=6)\O))=[O+]C8(\C=C(/C=C(C(\C=7)=8)/O[C@H]9([C@H](O)[C@@H](O)[C@H](O)[C@@H](COC(=O)CC(=O)[O-])O9))\[O-])))))	CPDQT-373		1342.164
cyanidin 3-<i>O</i>-[6-<i>O</i>-(4-<i>O</i>-&beta;-D-glucosyl-<i>p</i>-coumaroyl)-2-<i>O</i>-(&beta;-D-xylosyl)-&beta;-D-glucosyl]-5-<i>O</i>-(6-<i>O</i>-malonyl-&beta;-D-glucoside)	C50H55O30	InChIKey=NXTHTMNXJOEVLR-RBRVVFPSSA-M		C(O)[C@H]1(O[C@H]([C@H](O)[C@@H](O)[C@H](O)1)OC8(\C=C/C(/C=C/C(=O)OC[C@@H]3([C@@H](O)[C@H](O)[C@@H](O[C@H]2([C@H](O)[C@@H](O)[C@H](O)CO2))[C@@H](O3)OC5(\C(C4(\C=C(C(/O)=C\C=4)\O))=[O+]C6(\C=C(/C=C(C(\C=5)=6)/O[C@H]7([C@H](O)[C@@H](O)[C@H](O)[C@@H](COC(=O)CC(=O)[O-])O7))\[O-]))))=C/C=8))	CPD-15234		1135.966
cyanidin 5-<i>O</i>-&beta;-D-glucoside	C21H19O11	InChIKey=PWORRIQTGXEXBH-GQUPQBGVSA-M	rose anthocyanin biosynthesis I (via cyanidin 5-<i>O</i>-&beta;-<i>D</i>-glucoside) // superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-<i>O</i>-glucoside)	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@@H](O1)OC3(\C4(/C=C(C(C2(\C=C(C(/O)=C\C=2)\O))=[O+]C(\C=C(/C=3)\[O-])=4)/[O-])))	CPD-7386		447.374
cyanidin-3-<i>O</i>-&beta;-D-glucoside	C21H19O11	InChIKey=RKWHWFONKJEUEF-GQUPQBGVSA-M	anthocyanin biosynthesis // superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-<i>O</i>-glucoside) // anthocyanidin modification (<i>Arabidopsis</i>)	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@@H](O1)OC3(\C(C2(\C=C(C(/O)=C\C=2)\O))=[O+]C4(\C(/C=3)=C(/C=C(/C=4)/[O-])\[O-])))	CPD1F-766	cyanidin-3-O-glucoside // Chrysanthemin	447.374
cyanoborohydride	CHNB	InChIKey=IUDSCMPRPHGDII-UHFFFAOYSA-N	glucosinolate activation	C(#N)[BH-]	CPD0-1399		37.838
cyclic pyranopterin phosphate	C10H11N5O7P	InChIKey=PWFXLXMPGSLEOZ-QQVWSJFJSA-M	molybdenum cofactor biosynthesis	C1(OP([O-])(=O)OC2(C1O[C@@H]3([C@H](C(=O)2)NC4(\C(=O)NC(/N)=N/C(\N3)=4))))	PRECURSOR-Z	precursor Z // cPMP // precursor-Z // 8-amino-2,12,12-trihydroxy-4a,5a,6,9,11,11a,12,12a-octahydro[1,3,2]dioxaphosphinino[4',5':5,6]pyrano[3,2-g]pteridin-10(4H)-one 2-oxide // 8-amino-2,12,12-trihydroxy-4,4a,5a,6,9,10,11,11a,12,12a-decahydro-[1,3,2]dioxaphosphinino[4',5':5,6]pyrano[3,2-g]pteridine 2-oxide // cyclic pyranopterin monophosphate	344.2
cyclic- 3,4-<i>O</i>-oxalyl-L-threonate	C6H5O7	InChIKey=FTDFTFXOJYXVTH-UHFFFAOYSA-M		C1(OC(=O)C(=O)OC(C(O)C(=O)[O-])1)	CPD-13910	3,4-cyclic oxalyl theronolactone	189.101
cyclic-2,3-<i>O</i>-oxalyl-L-threonate	C6H5O7	InChIKey=NKBSFRFTBUHMJF-UHFFFAOYSA-M		C(O)C1(OC(=O)C(=O)OC(C(=O)[O-])1)	CPD-13914	2,3-cyclic oxalyl theronolactone	189.101
cyclic-AMP	C10H11N5O6P	InChIKey=IVOMOUWHDPKRLL-KQYNXXCUSA-M		C3(OP(=O)([O-])O[C@H]4([C@@H](O)[C@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))O[C@H]34))	CAMP	cyclic 3',5'-AMP // 3',5'-cyclic AMP // adenosine cyclic-3',5'-monophosphate // adenosine cyclic-monophosphate // adenosine-cyclic-phosphoric-acid // cAMP // adenosine-cyclic-phosphate // adenosine-3',5'-monophosphate // adenosine 3',5'-cyclic phosphate // adenosine-3',5'-cyclic monophosphate // cyclic-3',5'-adenosine monophosphate	328.201
cyclic-GMP	C10H11N5O7P	InChIKey=ZOOGRGPOEVQQDX-UUOKFMHZSA-M		C4([C@@H]3([C@H]([C@H]([C@H](N1(C2(\N=C(N)/NC(C(\N=C/1)=2)=O)))O3)O)OP(O4)(=O)[O-]))	CGMP	3',5'-cyclic GMP // guanosine-cyclic-phosphoric-acid // cGMP // guanosine cyclic-monophosphate // guanosine 3',5'-cyclic-monophosphate // guanosine 3',5'-cyclic phosphate // cyclic 3',5'-guanosine monophosphate	344.2
cycloartenol	C30H50O	InChIKey=ONQRKEUAIJMULO-YBXTVTTCSA-N	cycloartenol biosynthesis // avenacin biosynthesis, initial reactions // plant sterol biosynthesis II // phytosterol biosynthesis (plants)	CC(C)=CCC[C@@H](C)[C@H]3(CC[C@@]4(C)([C@@H]1(CC[C@H]5(C(C)(C)[C@@H](O)CC[C@@]2(C[C@@]12CC[C@](C)34)5))))	CYCLOARTENOL	9beta,19-cyclo-24-lanosten-3beta-ol // cycloart-24(25)-enol // (3beta,9beta)-9,19-cyclolanost-24-en-3-ol	426.724
cycloeucalenol	C30H50O	InChIKey=HUNLTIZKNQDZEI-PGFZVWMDSA-N	sphingolipid biosynthesis (plants) // phytosterol biosynthesis (plants)	CC(C)C(CC[C@@H](C)[C@H]3(CC[C@@]4(C)([C@@H]1(CC[C@H]5([C@H](C)[C@@H](O)CC[C@@]2(C[C@@]12CC[C@](C)34)5)))))=C	CYCLOEUCALENOL		426.724
cycloeucalenone	C30H48O	InChIKey=NFRXSIOHGADFRG-MEMZBLDGSA-N	phytosterol biosynthesis (plants)	CC(C)C(CC[C@@H](C)[C@H]3(CC[C@@]4(C)([C@@H]1(CC[C@H]5([C@H](C)C(=O)CC[C@@]2(C[C@@]12CC[C@](C)34)5)))))=C	CPD-12868	9,19-cyclo-5alpha,9beta-ergost-24(28)-en-3-one // 3H,19H-cyclopropa[9,10]cyclopenta[a]phenanthrene // 4alpha,14alpha-dimethyl-9beta,19-cyclo-ergost-24(241)-en-3-one	424.709
cycloheptadienyl	C11H10O5	InChIKey=VJFDVDXXJRSPLZ-VIFPVBQESA-L		C=C(C(=O)[O-])O[C@@H]1(/C=C(\C=C/CC1)/C(=O)[O-])	CPD0-1681		222.197
cyclolaudenol	C31H52O	InChIKey=IXHACUTUTOCSJE-HWTFXIFRSA-N	sphingolipid biosynthesis (plants)	C=C(C)[C@@H](C)CC[C@@H](C)[C@H]3(CC[C@@]4(C)([C@@H]1(CC[C@H]5(C(C)(C)[C@@H](O)CC[C@@]2(C[C@@]12CC[C@](C)34)5))))	CPD-22096	(24S)-24-methylcycloarta-25-en-3-beta-ol	440.751
cystamine	C4H14N2S2	InChIKey=APQPRKLAWCIJEK-UHFFFAOYSA-P		C(CSSCC[NH3+])[NH3+]	CYSTAMINE		154.288
cytidine	C9H13N3O5	InChIKey=UHDGCWIWMRVCDJ-XVFCMESISA-N	UTP and CTP dephosphorylation I // pyrimidine ribonucleosides salvage I // pyrimidine ribonucleosides salvage II // superpathway of pyrimidine ribonucleosides salvage	C([C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O))O	CYTIDINE		243.219
cytosine	C4H5N3O	InChIKey=OPTASPLRGRRNAP-UHFFFAOYSA-N		C1(\NC(=O)/N=C(\C=1)/N)	CYTOSINE	4-amino-2-oxo-1,2-dihydropyrimidine // C	111.103
D,L- &gamma;-hydroxyphosphinothricin	C5H11NO5P	InChIKey=ZFYMZQBTTYLNFW-UHFFFAOYSA-M		CP([O-])(=O)C(O)CC([NH3+])C(=O)[O-]	CPD0-1245	GHPPT	196.119
D,L-5-fluorotryptophan	C11H11N2O2F	InChIKey=INPQIVHQSQUEAJ-UHFFFAOYSA-N		C1(\C(\F)=C/C2(/C(\CC(C(=O)[O-])[NH3+])=C\NC(/C=1)=2))	DL-5-FLUOROTRYPTOPHAN		222.218
D,L-&alpha;-methylphosphinothricin	C6H13NO4P	InChIKey=BGDOUYCSLAVFRE-UHFFFAOYSA-M		CC(C(=O)[O-])([NH3+])CCP([O-])(C)=O	CPD0-1248	AMPPT	194.147
D,L-cyclohexanephosphinothricin	C8H15NO4P	InChIKey=ZAIBDODFHKWMIG-UHFFFAOYSA-M		CP([O-])(=O)C1(CC(C(=O)[O-])([NH3+])CCC1)	CPD0-1246	CHPPT	220.185
D-alanine	C3H7NO2	InChIKey=QNAYBMKLOCPYGJ-UWTATZPHSA-N		C[C@@H]([NH3+])C([O-])=O	D-ALANINE		89.094
D-alanyl-D-alanine	C6H12N2O3	InChIKey=DEFJQIDDEAULHB-QWWZWVQMSA-N		C[C@@H]([NH3+])C(=O)N[C@H](C)C([O-])=O	D-ALA-D-ALA		160.172
D-arabinofuranose 5-phosphate	C5H9O8P	InChIKey=KTVPXOYAKDPRHY-ZRMNMSDTSA-L	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis // CMP-KDO biosynthesis II (from D-arabinose 5-phosphate)	C(OP([O-])(=O)[O-])[C@@H]1([C@@H](O)[C@H](O)C(O)O1)	CPD-18118	D-arabinofuranose 5P	228.095
D-arabinono-1,4-lactone	C5H8O5	InChIKey=CUOKHACJLGPRHD-JJYYJPOSSA-N		C(O)[C@H]1(OC(=O)[C@@H](O)[C@H](O)1)	CPD-356		148.115
D-aspartate	C4H6NO4	InChIKey=CKLJMWTZIZZHCS-UWTATZPHSA-M		C(C(=O)[O-])[C@@H]([NH3+])C(=O)[O-]	CPD-302	D-aspartic acid	132.096
D-cycloserine	C3H7N2O2	InChIKey=DYDCUQKUCUHJBH-UWTATZPHSA-O		C1(ONC(=O)[C@H]([NH3+])1)	CPD-2482	D-4-amino-3-isoxazolidinone // D-4-amino-3-isoxazolidone // orientomycin // Seromycin	103.1
D-cysteine	C3H7NO2S	InChIKey=XUJNEKJLAYXESH-UWTATZPHSA-N		C(S)[C@H](C(=O)[O-])[NH3+]	D-CYSTEINE		121.154
D-cystine	C6H12N2O4S2	InChIKey=LEVWYRKDKASIDU-QWWZWVQMSA-N		C([C@H](C(=O)[O-])[NH3+])SSC[C@H](C([O-])=O)[NH3+]	CPD0-1564		240.292
D-erythro-imidazole-glycerol-phosphate	C6H9N2O6P	InChIKey=HFYBTHCYPKEDQQ-RITPCOANSA-L	L-histidine biosynthesis	C1(\N\C=N/C(\[C@@H]([C@H](O)COP(=O)([O-])[O-])O)=1)	D-ERYTHRO-IMIDAZOLE-GLYCEROL-P	D-erythro-1-(imidazol-4-yl)-glycerol 3-phosphate // D-erythro-1-(imidazol-4-yl)-glycerol-3-phosphate // D-erythro-imidazole-glycerol-P // erythro-imidazole-glycerol-P // erythro-imidazole-glycerol-phosphate // imidazole glycerol phosphate // IGP	236.121
D-erythrose 4-phosphate	C4H7O7P	InChIKey=NGHMDNPXVRFFGS-IUYQGCFVSA-L	Rubisco shunt // pentose phosphate pathway (non-oxidative branch) // pentose phosphate pathway // 3-dehydroquinate biosynthesis I // chorismate biosynthesis I // Calvin-Benson-Bassham cycle // oxygenic photosynthesis	C([C@@H]([C@@H](COP([O-])([O-])=O)O)O)=O	ERYTHROSE-4P	erythrose-4P // threose 4-phosphate // erythrose-4-phosphate // erythrose-4-P // D-erythrose-4-P	198.069
D-glucarate	C6H8O8	InChIKey=DSLZVSRJTYRBFB-LLEIAEIESA-L	alkane oxidation // caffeoylglucarate biosynthesis	C(=O)([C@H](O)[C@@H](O)[C@H](O)[C@H](O)C(=O)[O-])[O-]	D-GLUCARATE	glucarate // D-glucaric acid // L-gularic acid // D-saccharic acid // D-glucosaccharic acid // saccharate // (D)-glucarate // D-saccharate	208.124
D-gluconate	C6H11O7	InChIKey=RGHNJXZEOKUKBD-SQOUGZDYSA-M	glucose and glucose-1-phosphate degradation // sorbitol biosynthesis II	C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-]	GLUCONATE	gluconate // gluconic acid // D-gluconic acid // dextronic acid // aldonic acid // maltonic acid	195.149
D-gluconate 6-phosphate	C6H10O10P	InChIKey=BIRSGZKFKXLSJQ-SQOUGZDYSA-K	sorbitol biosynthesis II // pentose phosphate pathway (oxidative branch) I // pentose phosphate pathway	C([C@H]([C@H]([C@@H]([C@H](C([O-])=O)O)O)O)O)OP([O-])([O-])=O	CPD-2961	6-p gluconate // 6-phospho gluconate // 6-phosphogluconic acid // 6-phospho D-gluconate	273.113
D-glucono-1,5-lactone	C6H10O6	InChIKey=PHOQVHQSTUBQQK-SQOUGZDYSA-N	glucose and glucose-1-phosphate degradation // sorbitol biosynthesis II	C([C@H]1(OC([C@@H]([C@H]([C@@H]1O)O)O)=O))O	GLC-D-LACTONE	D-aldonolactone // 3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-one // gluconolactone // glucono-1,5-lactone // 1,5-gluconolactone // D-gluconolactone // glucono-delta-lactone // delta-gluconolactone // D-glucono-delta-lactone // gluconic lactone // gluconic acid lactone	178.141
D-glutamine	C5H10N2O3	InChIKey=ZDXPYRJPNDTMRX-GSVOUGTGSA-N		C(=O)(N)CC[C@@H]([NH3+])C([O-])=O	GLUTAMIDE	glutamide	146.146
D-glyceraldehyde	C3H6O3	InChIKey=MNQZXJOMYWMBOU-VKHMYHEASA-N	ceramide degradation	C(=O)[C@H](O)CO	GLYCERALD	glyceraldehyde // alpha,beta-dihydroxypropionaldehyde // D-(+)-glyceraldehyde // D-2,3-dihydroxypropanal // D-2,3-dihydroxypropionaldehyde // D-aldotriose // D-glycerose	90.079
D-glyceraldehyde 3-phosphate	C3H5O6P	InChIKey=LXJXRIRHZLFYRP-VKHMYHEASA-L	L-tryptophan biosynthesis // superpathway of phenylalanine, tyrosine and tryptophan biosynthesis // pyridoxal 5'-phosphate biosynthesis II // methylerythritol phosphate pathway I // superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP) // methylerythritol phosphate pathway II // Calvin-Benson-Bassham cycle // oxygenic photosynthesis // Rubisco shunt // pentose phosphate pathway (non-oxidative branch) // pentose phosphate pathway // sucrose biosynthesis I (from photosynthesis) // gluconeogenesis I // glycolysis II (from fructose 6-phosphate) // superpathway of anaerobic sucrose degradation // gluconeogenesis III // glycolysis I (from glucose 6-phosphate) // glycolysis IV (plant cytosol) // superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	C(=O)[C@H](O)COP(=O)([O-])[O-]	GAP	(2R)-2-hydroxy-3-(phosphooxy)-propanal // D-glyceraldehyde 3-phosphate // 3-phosphoglyceraldehyde // D-glyceraldehyde-3-P // glyceraldehyde 3-phosphate // gap // glyceraldehyde-phosphate // glyceraldehyde-P // glyceraldehyde-3-P // (2R)-2-hydroxy-3-(phosphonooxy)-propanal // triose phosphate	168.043
D-hexose 6-phosphate	C6H11O9P	InChIKey=NBSCHQHZLSJFNQ-UHFFFAOYSA-L		C(OP(=O)([O-])[O-])C1(OC(O)C(O)C(O)C(O)1)	D-HEXOSE-6-PHOSPHATE		258.121
D-lysine	C6H15N2O2	InChIKey=KDXKERNSBIXSRK-RXMQYKEDSA-O		C([NH3+])CCC[C@@H]([NH3+])C([O-])=O	CPD-219	D-2,6-diaminohexanoic acid	147.197
D-mannitol	C6H14O6	InChIKey=FBPFZTCFMRRESA-KVTDHHQDSA-N	mannitol biosynthesis // phosphate acquisition // glycerophosphodiester degradation	C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O	MANNITOL	(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol // D-mitobronitol // mannitol // mitobronitol	182.173
D-mannitol 1-phosphate	C6H13O9P	InChIKey=GACTWZZMVMUKNG-KVTDHHQDSA-L	mannitol biosynthesis	C([C@H]([C@H]([C@@H]([C@@H](COP([O-])([O-])=O)O)O)O)O)O	MANNITOL-1P	D-mannitol-6-phosphate // mannitol-6-P // mannitol-1-P // D-mannitol-1-phosphate	260.137
D-methionine	C5H11NO2S	InChIKey=FFEARJCKVFRZRR-SCSAIBSYSA-N		CSCC[C@@H]([NH3+])C([O-])=O	CPD-218	D-2-amino-4-(methylthio)butyric acid	149.207
D-<i>myo</i>-inositol (1,2) bisphosphate	C6H10O12P2	InChIKey=MCKAJXMRULSUKI-FTYOSCRSSA-J	phosphate acquisition // glycerophosphodiester degradation // phytate degradation I	[C@@H]1(O)([C@@H](O)[C@H](OP([O-])([O-])=O)[C@H](OP([O-])([O-])=O)[C@H](O)[C@@H](O)1)	CPD-6747	1D-myo-inositol (1,2) bisphosphate // 1D-myo-inositol (1,2) biphosphate // Ins(1,2)P2 // D-myo-inositol (1,2) biphosphate // I(1,2)P2	336.085
D-<i>myo</i>-inositol (1,2,3) trisphosphate	C6H9O15P3	InChIKey=GKDKOMAJZATYAY-QWBQGLJISA-H	phosphate acquisition // glycerophosphodiester degradation // phytate degradation I	[C@@H]1(O)([C@@H](O)[C@H](OP([O-])([O-])=O)[C@H](OP([O-])([O-])=O)[C@H](OP(=O)([O-])[O-])[C@@H](O)1)	CPD-6745	1D-myo-inositol (1,2,3) trisphosphate // Ins(1,2,3)P3 // I(1,2,3)P3	414.049
D-<i>myo</i>-inositol (1,2,3,5,6) pentakisphosphate	C6H7O21P5	InChIKey=CTPQAXVNYGZUAJ-UOTPTPDRSA-D	phosphate acquisition // glycerophosphodiester degradation // phytate degradation I	[C@H]1(O)([C@H](OP(=O)([O-])[O-])[C@@H](OP([O-])(=O)[O-])[C@H](OP([O-])([O-])=O)[C@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])1)	CPD-6741	1D-myo-inositol (1,2,3,5,6) pentakisphosphate // Ins(1,2,3,5,6)P5 // I(1,2,3,5,6)P5	569.977
D-<i>myo</i>-inositol (1,2,3,6) tetrakisphosphate	C6H8O18P4	InChIKey=MRVYFOANPDTYBY-FTYOSCRSSA-F	phosphate acquisition // glycerophosphodiester degradation // phytate degradation I	[C@@H]1(O)([C@@H](OP([O-])(=O)[O-])[C@H](OP([O-])([O-])=O)[C@H](OP([O-])([O-])=O)[C@H](OP(=O)([O-])[O-])[C@@H](O)1)	CPD-6743	1D-myo-inositol (1,2,3,6) tetrakisphosphate // Ins(1,2,3,6)P4 // I(1,2,3,6)P4	492.013
D-<i>myo</i>-inositol (1,2,4,5,6)-pentakisphosphate	C6H7O21P5	InChIKey=CTPQAXVNYGZUAJ-XCMZKKERSA-D	lipid-dependent phytate biosynthesis I (via Ins(1,4,5)P<sub>3</sub>) // phosphate acquisition // glycerophosphodiester degradation // phytate degradation I	[C@H]1(O)([C@@H](OP([O-])(=O)[O-])[C@H](OP([O-])([O-])=O)[C@@H](OP([O-])([O-])=O)[C@H](OP([O-])([O-])=O)[C@H](OP([O-])(=O)[O-])1)	CPD-534	1D-myo-inositol 1,2,4,5,6-pentakisphosphate // myo-inositol 1,2,4,5,6-pentakisphosphate // inositol 1,2,4,5,6-pentakisphosphate // Ins(1,2,4,5,6)P5	569.977
D-<i>myo</i>-inositol (1,2,5,6) tetrakisphosphate	C6H8O18P4	InChIKey=MRVYFOANPDTYBY-XCMZKKERSA-F	phosphate acquisition // glycerophosphodiester degradation // phytate degradation I	[C@H]1(O)([C@@H](O)[C@H](OP([O-])(=O)[O-])[C@@H](OP([O-])(=O)[O-])[C@H](OP([O-])([O-])=O)[C@H](OP([O-])([O-])=O)1)	CPD-6742	1D-myo-inositol (1,2,5,6) tetrakisphosphate // Ins(1,2,5,6)P4 // I(1,2,5,6)P4	492.013
